Table	Section	Functionalities	Package	Reference	Repo
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Isotope labeling using MS	Finding the dual (or multiple) isotope labeled analytes using dual labeling of metabolites for metabolome analysis (DLEMMA) approach, described in Liron [42].	Miso	[43]	CRAN
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Targeted MS                        	Peak picking using peak apex intensities for selected masses. Reference library matching, RT/RI conversion plus metabolite identification using multiple correlated masses. Includes GUI.	TargetSearch	[44]	BioC
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Targeted MS                        	Pre-processing for targeted (SIM) GC-MS data. Guided selection of appropriate fragments for the targets of interest by using an optimization algorithm based on user provided library.	SIMAT	[45]	BioC
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Targeted MS                        	Deconvolution of MS2 spectra obtained with wide isolation windows.	decoMS2	[46]	
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Targeted MS                        	Deconvolution of SWATH-MS experiments to MRM transitions.	SWATHtoMRM	[47]	
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Targeted MS                        	Automatic analysis of large scale MRM experiments.	MRMAnalyzer	[48]	
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Targeted MS                        	Tailors peak detection for targeted metabolites through iterative user interface. It automatically integrates peak areas for all isotopologues and outputs extracted ion chromatograms (EICs).	AssayR	[49]	GitHub
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Targeted MS                        	Targeted peak picking and annotation. Includes Shiny GUI.	peakPantheR		GitHub
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Targeted MS                        	Toolkit for working with Selective Reaction Monitoring (SRM) MS data and other variants of targeted LC-MS data.	sRm		GitHub
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Targeted MS                        	Deconvolution of SWATH-MS data.	DecoMetDIA	(Yin et al. 2019)	GitHub
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Targeted MS                        	Targeted peak picking and annotation. All functions through Shiny GUI.	TarMet		GitHub
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	GC-MS and GC×GC-MS                        	Unsupervised data mining on GC-MS. Clustering of mass spectra to detect compound spectra. The output can be searched in NIST and ARISTO [50].	MSeasy	[51]	CRAN
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	GC-MS and GC×GC-MS                        	Pre-processing for GC/MS, MassBank search, NIST format export.	erah	[52]	CRAN
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	GC-MS and GC×GC-MS                        	Pre-processing using AMDIS [53, 54] for untargeted GC-MS analysis. Feature grouping across samples, improved quantification, removal of false positives, normalisation via internal standard or biomass; basic statistics.	Metab	[55]	BioC
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	GC-MS and GC×GC-MS                        	Deconvolution of GC-MS and GC×GC-MS unit resolution data using orthogonal signal deconvolution (OSD), independent component regression (ICR) and multivariate curve resolution (MCR-ALS).	osd	[56, 57]	CRAN
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	GC-MS and GC×GC-MS                        	Corrects overloaded signals directly in raw data (from GC-APCI-MS) automatically by using a Gaussian or isotopic-ratio approach.	CorrectOverloadedPeaks	[58]	CRAN
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	GC-MS and GC×GC-MS                        	Alignment of GC data. Also GC-FID or any single channel data since it works directly on peak lists.	GCalignR	[59]	CRAN
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	GC-MS and GC×GC-MS                        	GC-MS data processing and compound annotation pipeline. Includes the building, validating, and query of in-house databases.	metaMS	[60]	BioC
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	GC-MS and GC×GC-MS                        	Peak picking for GC×GC-MS using bayes factor and mixture probability models.	msPeak	[61]	SF
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	GC-MS and GC×GC-MS                        	Peak alignment for GC×GC-MS data with homogeneous peaks based on mixture similarity measures.	mSPA	[62]	SF
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	GC-MS and GC×GC-MS                        	Peak alignment for GC×GC-MS data with homogeneous and/or heterogenous peaks based on mixture similarity measures.	SWPA	[63]	SF
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	GC-MS and GC×GC-MS                        	Chemometrics analysis GC×GC-MS: baseline correction, smoothing, COW peak alignment, multiway PCA is incorporated.	RGCxGC		CRAN
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	GC-MS and GC×GC-MS                        	Retention time and mass spectra similarity threshold-free alignments, seamlessly integrates retention time standards for universally reproducible alignments, performs common ion filtering, and provides compatibility with multiple peak quantification methods.	R2DGC	(Ramaker et al. 2017)	GitHub
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Flow injection / direct infusion analysis	Pre-processing of data from Flow Injection Analysis (FIA) coupled to High-Resolution Mass Spectrometry (HRMS).	proFIA	[64]	BioC
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Flow injection / direct infusion analysis	Flow In-jection Electrospray Mass Spectrometry Processing: data processing, classification modelling and variable selection in metabolite fingerprinting	FIEmspro	(Enot et al. 2008)	GitHub
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Flow injection / direct infusion analysis	Processing Mass Spectrometry spectrum by using wavelet based algorithm. Can be used for direct infusion experiments.	MassSpecWavelet	[65]	BioC
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Other	Filtering of features originating from artifactual interference. Based on the analysis of an extract of E. coli grown in 13C-enriched media.	credential	[66]	GitHub
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Other	Wrappers for XCMS and CAMERA. Also includes matching to a spectral library and a GUI.	metaMS	[60]	BioC
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Other	Processing of peaktables from AMDIS, XCMS or ChromaTOF. Functions for plotting also provided.	flagme	[67]	BioC
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Other	Parametric Time Warping (RT correction) for both DAD and LC-MS.	ptw	[68]	CRAN
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Other	R wrapper for X!Tandem software for protein identification.	rTANDEM	[69]	BioC
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Other	Building, validation, and statistical analysis of extended assay libraries for SWATH proteomics data.	SwathXtend	[70]	BioC
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Other	Split a data set into a set of likely true metabolites and likely measurement artifacts by comparing missing rates of pooled plasma samples and biological samples.	MetProc	(Chaffin et al. 2019)	CRAN
Table 1: R packages for mass spectrometry data handling and (pre-)processing.	Other	Quality of LC-MS and direct infusion MS data. Generates a report that contains a comprehensive set of quality control metrics and charts.	qcrms		GitHub
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	Molecular formula and isotope analysis	Simulation of and decomposition of Isotopic Patterns.	Rdisop	[72]	BioC
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	Molecular formula and isotope analysis	Calculation of isotope fine patterns. Also adduct calculations and molecular formula parsing. Web version available at www.envipat.eawag.ch.	enviPat	[73]	CRAN
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	Molecular formula and isotope analysis	Molecular formula assignment, mass recalibration, signal-to-noise evaluation, and unambiguous formula selections are provided.	MFAssignR		GitHub
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	Molecular formula and isotope analysis	Uses GenForm for molecular formula generation on mass accuracy, isotope and/or MS/MS fragments, as well as performing MS/MS subformula annotation.	GenFormR	[74]	GitHub
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	Molecular formula and isotope analysis	Checking element isotopes, calculating (isotope labelled) exact monoisotopic mass,m/zvalues, mass accuracy, and inspecting possible contaminant mass peaks, examining possible adducts in ESI and MALDI.	MSbox		CRAN
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	MS feature grouping	Grouping of correlated features into pseudo compound spectra using correlation across samples and similarity of peak shape. Annotation of isotopes and adducts. Works as an add-on to XCMS.	CAMERA	[75]	BioC
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	MS feature grouping	Grouping of features based on similarity between coelution profiles.	CliqueMS	[76]	CRAN
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	MS feature grouping	Cluster based feature grouping for non-targeted GC or LC-MS data.	RAMClustR	[77]	CRAN
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	MS feature grouping	Uses dynamic block summarisation to group features belong to the same compound. Correction for peak misalignments and isotopic pattern validation.	MetTailor	[78]	SF
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	MS feature grouping	Isotope & adduct peak grouping, homologous series detection.	nontarget	[79]	CRAN
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	MS feature grouping	Bayesian approach for grouping peaks originating from the same compound.	peakANOVA	[80]	
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	MS feature grouping	Combination of data from positive and negative ionization mode finding common molecular entities.	MScombine	[81]	CRAN
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	MS feature grouping	Grouping of correlated features into pseudo compound spectra using correlation across sample. Annotation of isotopes and adducts. Can work directly with the XCMS output.	Astream	[82]	
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	MS feature grouping	Navigation of high-resolution MS/MS data in a GUI based on mass spectral similarity.	MetCirc	[83]	BioC
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	MS feature grouping	Deconvolution of MS/MS spectra obtained with wide isolation windows.	decoMS2	[78]	
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	Ion/adduct/fragment annotation	Bayesian probabilistic annotation.	ProbMetab	[84]	GitHub
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	Ion/adduct/fragment annotation	Isotope & adduct peak grouping, unsupervised homologous series detection.	nontarget	[79]	CRAN
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	Ion/adduct/fragment annotation	Automatic interpretation of fragments and adducts in MS spectra. Molecular formula prediction based on fragmentation.	InterpretMSSpectrum	[85]	CRAN
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	Ion/adduct/fragment annotation	Automated annotation using MS2 data or databases and retention time. Calculation of spectral and chemical networks.	compMS2Miner	[86]	GitHub
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	Ion/adduct/fragment annotation	Screening, annotation, and putative identification of mass spectral features in lipidomics. Default databases contain ~25,000 compounds.	LOBSTAHS	[87]	BioC
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	Ion/adduct/fragment annotation	Automated annotation of fragments from MS and MS2 and putative identification against simulated library fragments of ~500,000 lipid species across ~60 lipid types.	LipidMatch	[88]	GitHub
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	Ion/adduct/fragment annotation	Annotation of lipid type and acyl groups on independent acquisition-mass spectrometry lipidomics based on fragmentation and intensity rules.	LipidMS	[89]	CRAN
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	Ion/adduct/fragment annotation	Accurate mass and/or retention time and/or collisional cross section matching.	masstrixR	[90]	GitHub
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	Ion/adduct/fragment annotation	Downloads KEGG compounds orthology data and wraps the KEGGREST package to extractgene data.	omu	(Tiffany and Bäumler 2019)	CRAN
Table 2: R packages for ion species grouping, annotation, molecular formula generation and accurate mass lookup.	Ion/adduct/fragment annotation	Paired mass distance analysis to find independent peaks inm/z-retention time profiles based on retention time hierarchical cluster analysis and frequency analysis of paired mass distances within retention time groups. Structure directed analysis to find potential relationship among those independent peaks. Shiny GUI included.	pmd	(Yu et al. 2019)	CRAN
Table 3: R packages for MS/MS data.	MS2 and libraries	Tools for processing raw data to database ready cleaned spectra with metadata.	RMassBank	[91]	BioC
Table 3: R packages for MS/MS data.	MS2 and libraries	From RT-m/z pairs (or m/z alone) creates MS2 experiment files with non-overlapping subsets of the targets. Bruker, Agilent and Waters supported.	MetShot	[92]	GitHub
Table 3: R packages for MS/MS data.	MS2 and libraries	Creating MS libraries from LC-MS data using XCMS/CAMERA packages. A multi-modular annotation function including X-Rank spectral scoring matches experimental data against the generated MS library.	MatchWeiz	[93]	GitHub
Table 3: R packages for MS/MS data.	MS2 and libraries	Assess precursor contribution to fragment spectrum acquired or anticipated isolation windows using "precursor purity" for both LC-MS(/MS) and DI-MS(/MS) data. Spectral matching against a SQLite database of library spectra.	msPurity	[94]	BioC
Table 3: R packages for MS/MS data.	MS2 and libraries	Automated quantification of metabolites by targeting mass spectral/retention time libraries into full scan-acquired GC-MS chromatograms.	baitmet	[95]	CRAN
Table 3: R packages for MS/MS data.	MS2 and libraries	MS2 spectra similarity and unsupervised statistical methods. Workflow from raw data to visualisations and is interfaceable with XCMS.	CluMSID	[96]	BioC
Table 3: R packages for MS/MS data.	MS2 and libraries	Import of spectra from different file formats such as NIST msp, mgf (mascot generic format), and library (Bruker) to MSnbase objects.	MSnio		GitHub
Table 3: R packages for MS/MS data.	MS2 and libraries	Multi-purpose mass spectrometry package. Contains many different functions .e.g. isotope pattern calculation, spectrum similarity, chromatogram plotting, reading of msp files and peptide related functions.	OrgMassSpecR		CRAN
Table 3: R packages for MS/MS data.	MS2 and libraries	Annotation of LC-MS data based on a database of fragments.	MetaboList	(Sentandreu et al. 2018)	CRAN
Table 3: R packages for MS/MS data.	In silico fragmentation	In silico fragmentation of candidate structures.	MetFragR	[97]	GitHub
Table 3: R packages for MS/MS data.	In silico fragmentation	SOLUTIONS for High ReSOLUTION Mass Spectrometry including several functions to interact with MetFrag, developed during the SOLUTIONS project (www.solutions-project.eu). 	ReSOLUTION	[97]	GitHub
Table 3: R packages for MS/MS data.	In silico fragmentation	Uses MetFrag and adds substructure prediction using the isotopic pattern. Can be trained on a custom dataset.	CCC	[98]	GitHub
Table 3: R packages for MS/MS data.	Retention time correction	Retention time prediction based on compound structuredescriptors. Five different machine learning algorithms are available to build models. Plotting available to explore chemical space and model quality assessment.	Retip		GitHub
Table 4: R packages for NMR data handling and (pre-)processing.	Data processing and Analysis	A tool for processing of 1H NMR data including: Apodization, baseline correction, bucketing, Fourier transformation, warping and phase correction. Bruker FID can be directly imported.	PepsNMR	[119]	GitHub
Table 4: R packages for NMR data handling and (pre-)processing.	Data processing and Analysis	Spectra alignment, peak picking based processing, Quantitative analysis and visualizations for 1D NMR.	speaq	[120, 121]	CRAN
Table 4: R packages for NMR data handling and (pre-)processing.	Data processing and Analysis	Interactive environment based on R-Shiny that includes a complete set of tools to process and visualize 1D NMR spectral data. Processing includes baseline correction, ppm calibration, removal of solvents and contaminants and re-alignment of chemical shifts.	NMRProcFlow	[105]	Bitbucket
Table 4: R packages for NMR data handling and (pre-)processing.	Data processing and Analysis	TheMetaboMateR toolbox covers basic processing andstatisticalanalysis steps including; several spectral quality assessment (such as dealing with baseline distortions, water suppression to quality assessment of shimming and line width) as well as pre-processing (referencing,baselinecorrection, ... ) to multivariate analysis statistics functions.	MetaboMate		GitHub
Table 4: R packages for NMR data handling and (pre-)processing.	Data Analysis and Identification	Analysis of 1D and 2D NMR spectra using a ROIs based approach. Export to MMCD or uploaded to BMRB for identification.	rNMR	[122]	
Table 4: R packages for NMR data handling and (pre-)processing.	Data Analysis and Identification	Pre-processing and identification in an R-based GUI for 1D NMR.	rDolphin	[123]	GitHub
Table 4: R packages for NMR data handling and (pre-)processing.	Data Analysis and Identification	Bayesian automated metabolite analyser for 1D NMR spectra. Deconvolution of NMR spectra and automate metabolite quantification. Also identification based on chemical shift lists.	BATMAN	[118]	RF
Table 4: R packages for NMR data handling and (pre-)processing.	Data Analysis and Identification	“ASICS: an automatic method for identification and quantification of metabolites in complex 1D 1H NMR spectra.”	ASICS	[124]	BioC
Table 4: R packages for NMR data handling and (pre-)processing.	Data Analysis and Identification	ASICSdata: 1D NMR spectra for ASICS.	ASICSdata	[124]	BioC
Table 4: R packages for NMR data handling and (pre-)processing.	NMR and integration with Genomics	MWASTools: an integrated pipeline to perform NMR based metabolome-wide association studies (MWAS). Quality control analysis; MWAS using various models (partial correlations, generalized linear models); visualization of statistical outcomes; metabolite assignment using STOCSY; and biological interpretation of MWAS results.	MWASTools	[125]	BioC
Table 4: R packages for NMR data handling and (pre-)processing.	NMR and integration with Genomics	An Integrated Suite for Genetic Mapping of Quantitative Variations of 1H NMR-Based Metabolic Profiles. mQTL-NMR provides a complete metabotype quantitative trait locus (mQTL) mapping analysis pipeline for metabolomic data.	mQTL.NMR	[126]	BioC
Table 4: R packages for NMR data handling and (pre-)processing.	NMR and integration with Genomics	Handles hyperspectral data, i.e. spectra plus further information such as spatial information, time, concentrations, etc. Such data are frequently encountered in Raman, IR, NIR, UV/VIS, NMR, MS, etc.	hyperSpec		CRAN
Table 5: R Packages for UV data handling and (pre-)processing.	DAD	Multivariate Curve Resolution (Alternating Least Squares) for DAD data.	alsace	[127]	GitHub
Table 5: R Packages for UV data handling and (pre-)processing.	DAD	Parametric Time Warping (RT correction) for both DAD and LC-MS.	ptw	[68]	CRAN
Table 5: R Packages for UV data handling and (pre-)processing.	DAD	Handles hyperspectral data, i.e. spectra plus further information such as spatial information, time, concentrations, etc. Such data are frequently encountered in Raman, IR, NIR, UV/VIS, NMR, MS, etc.	hyperSpec		CRAN
Table 5: R Packages for UV data handling and (pre-)processing.	DAD	Projection based methods for preprocessing, exploring and analysis of multivariate data.	mdatools		CRAN
Table 5: R Packages for UV data handling and (pre-)processing.	DAD	Collection of baseline correction algorithms, along with a GUI for optimising baseline algorithm parameters.	baseline		CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Sample size	Estimate sample sizes for metabolomics experiments, (NMR and targeted approaches supported).	MetSizeR	[157]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Normalization	Cross-contribution robust multiple standard normalization. Normalization using internal standards.	crmn	[158]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Normalization	Within and between batch correction of LC-MS metabolomics data using either QC samples or all samples.	batchCorr	[159]	GitLab
Table 6: R packages for statistical analysis of metabolomics data.	Normalization	Normalisation for low concentration metabolites. Mixed model with simultaneous estimation of a correlation matrix.	Metabnorm	[160]	SF
Table 6: R packages for statistical analysis of metabolomics data.	Normalization	A collection of data distribution normalization methods.	Normalizer	[161]	
Table 6: R packages for statistical analysis of metabolomics data.	Normalization	Functions for drift removal and data normalisation based on: component correction, median fold change, ComBat or common PCA (CPCA).	intCor	[162]	
Table 6: R packages for statistical analysis of metabolomics data.	Normalization	Normalisation using a singular value decomposition.	EigenMS	[163]	SF
Table 6: R packages for statistical analysis of metabolomics data.	Normalization	Normalization based on RUV-random [164].	MetNorm	[165]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Normalization	SVR-based normalization and integration for large-scale metabolomics data.	MetNormalizer	[166]	GitHub
Table 6: R packages for statistical analysis of metabolomics data.	Normalization	Drift correction using QC samples or all study samples.	BatchCorrMetabolomics	[167]	GitHub
Table 6: R packages for statistical analysis of metabolomics data.	Normalization	Signal and Batch Correction for Mass Spectrometry	SBCMS		GitHub
Table 6: R packages for statistical analysis of metabolomics data.	Normalization	Multiple fitting models to correct intra- and inter-batch effects.	MetaboQC	(Calderón-Santiago et al. 2017)	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Normalization	Collection of functions designed to implement, assess, and choose a suitable normalization method for a given metabolomics study.	NormalizeMets	(De Livera et al. 2018)	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Exploratory Data Analysis	A large number of methods available for PCA.	pcaMethods	[168]	BioC
Table 6: R packages for statistical analysis of metabolomics data.	Exploratory Data Analysis	Chemometric analysis of NMR, IR or Raman spectroscopy data. It includes functions for spectral visualisation, peak alignment, HCA, PCA and model-based clustering.	ChemoSpec		BioC
Table 6: R packages for statistical analysis of metabolomics data.	Exploratory Data Analysis	Joint analysis of MS and MS2 data, where hierarchical cluster analysis is applied to MS2 data to annotate metabolite families and principal component analysis is applied to MS data to discover regulated metabolite families.	MetFamily	[169]	GitHub
Table 6: R packages for statistical analysis of metabolomics data.	Univariate hypothesis testing	Many methods for corrections for multiple testing.	multtest	[170]	BioC
Table 6: R packages for statistical analysis of metabolomics data.	Univariate hypothesis testing	Estimate tail area-based false discovery rates (FDR) as well as local false discovery rates (fdr) for a variety of null models (p-values, z-scores, correlation coefficients, t-scores).	fdrtool	[171]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Univariate hypothesis testing	GUI for statistical analysis using linear mixed models to normalize data and ANOVA to test for treatment effects.	MetabR	[172]	RF
Table 6: R packages for statistical analysis of metabolomics data.	Univariate hypothesis testing	Derives stable estimates of the metabolome-wide significance level within a univariate approach based on a permutation procedure which effectively controls the maximum overall type I error rate at the α level.	MWSL	(Peluso et al. 2018)	GitHub
Table 6: R packages for statistical analysis of metabolomics data.	Multivariate modeling and feature selection	Various multivariate methods to analyze metabolomics datasets. Main methods include PCA, Partial Least Squares regression (PLS), and extensions to the PLS like PLS Discriminant Analysis PLS-DA and the orthogonal variants OPLS(-DA).	ropls	[173]	BioC
Table 6: R packages for statistical analysis of metabolomics data.	Multivariate modeling and feature selection	Package for performing Partial Least Squares regression (PLS).	pls	[174]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Multivariate modeling and feature selection	PPCA, PPCCA, MPPCA.	MetabolAnalyze	[175]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Multivariate modeling and feature selection	General framework for building regression and classification models.	caret	[176]	CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Multivariate modeling and feature selection	ASCA, figure of merit (FoM), PCA, Goeman’s global test for metabolomic pathways (Q-stat), Penalized Jacobian method (for calculating network connections), Time-lagged correlation method and zero slopes method. It also includes centering and scaling functions.	MetStaT		CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Multivariate modeling and feature selection	RF for the construction, optimization and validation of classification models with the aim of identifying biomarkers. Also normalization, scaling, PCA, MDS.	RFmarkerDetector		CRAN
Table 6: R packages for statistical analysis of metabolomics data.	Multivariate modeling and feature selection	PLS-DA, RF, SVM, GBM, GLMNET, PAM.	OmicsMarkeR	[177]	BioC
Table 6: R packages for statistical analysis of metabolomics data.	Multivariate modeling and feature selection	Recursive feature elimination approach that selects features which significantly contribute to the performance of PLS-DA, Random Forest or SVM classifiers.	biosigner	[178]	BioC
Table 6: R packages for statistical analysis of metabolomics data.	Multivariate modeling and feature selection	Find Biomarkers in two class discrimination problems with variable selection methods provided for several classification metods (lasso/elastic net, PC-LDA, PLS-DA, and several t-tests).	BioMark	[179]	CRAN
